Team,year,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,finaly-16,final-8,final-4,final-2,champion,win
Philadelphia 76ers,2016,81,19565,2933,6806,0.431,747,2220,0.336,2186,4586,0.477,1270,1832,0.693,773,2578,3351,1737,670,488,1266,1756,7883,N,N,N,N,N,10
Golden State Warriors,2017,82,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1182,1585,9503,Y,Y,Y,Y,Y,67
Houston Rockets,2017,82,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2746,3638,2070,670,352,1188,1634,9458,Y,Y,N,N,N,55
Denver Nuggets,2017,82,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1186,1567,9161,N,N,N,N,N,40
Cleveland Cavaliers,2017,82,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1081,1486,9048,Y,Y,Y,Y,N,51
Washington Wizards,2017,82,19855,3388,7137,0.475,756,2030,0.372,2632,5107,0.515,1421,1812,0.784,843,2671,3514,1956,693,336,1103,1745,8953,Y,Y,N,N,N,49
Los Angeles Clippers,2017,82,19755,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1022,1626,8911,Y,N,N,N,N,51
Boston Celtics,2017,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1037,1686,8857,Y,Y,Y,N,N,53
Portland Trail Blazers,2017,82,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1077,1736,8851,Y,N,N,N,N,41
Phoenix Suns,2017,82,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1223,2030,8831,N,N,N,N,N,24
Toronto Raptors,2017,82,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,969,1708,8762,Y,Y,N,N,N,51
Oklahoma City Thunder,2017,82,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1199,1715,8741,Y,N,N,N,N,47
Brooklyn Nets,2017,82,19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1307,1726,8673,N,N,N,N,N,20
Minnesota Timberwolves,2017,82,19805,3235,6922,0.467,601,1723,0.349,2634,5199,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1099,1646,8657,N,N,N,N,N,31
San Antonio Spurs,2017,82,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,821,2777,3598,1954,655,484,1057,1498,8637,Y,Y,Y,N,N,61
Indiana Pacers,2017,82,19855,3221,6931,0.465,709,1885,0.376,2512,5046,0.498,1467,1811,0.81,742,2702,3444,1844,669,409,1087,1597,8618,Y,N,N,N,N,42
Charlotte Hornets,2017,82,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,899,1360,8601,N,N,N,N,N,36
Los Angeles Lakers,2017,82,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1193,1698,8575,N,N,N,N,N,26
New Orleans Pelicans,2017,82,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1012,1490,8556,N,N,N,N,N,34
New York Knicks,2017,82,19855,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1081,1668,8556,N,N,N,N,N,31
Milwaukee Bucks,2017,82,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1096,1660,8497,Y,N,N,N,N,42
Atlanta Hawks,2017,82,19880,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1249,1491,8459,Y,N,N,N,N,43
Miami Heat,2017,82,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1033,1680,8460,N,N,N,N,N,41
Chicago Bulls,2017,82,19780,3169,7141,0.444,623,1831,0.34,2546,5310,0.479,1474,1848,0.798,999,2797,3796,1851,643,393,1065,1455,8435,Y,N,N,N,N,41
Sacramento Kings,2017,82,19880,3105,6734,0.461,737,1960,0.376,2368,4774,0.496,1483,1913,0.775,715,2652,3367,1844,627,324,1157,1667,8430,N,N,N,N,N,32
Philadelphia 76ers,2017,82,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1310,1793,8400,N,N,N,N,N,28
Detroit Pistons,2017,82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,932,1467,8309,N,N,N,N,N,37
Orlando Magic,2017,82,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,396,1053,1584,8288,N,N,N,N,N,29
Utah Jazz,2017,82,19755,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1060,1545,8258,Y,Y,N,N,N,51
Memphis Grizzlies,2017,82,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,886,2621,3507,1744,653,344,1019,1840,8239,Y,N,N,N,N,43
Dallas Mavericks,2017,82,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,921,1567,8029,N,N,N,N,N,33
Golden State Warriors,2018,82,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1229,1607,9304,Y,Y,Y,Y,Y,58
Houston Rockets,2018,82,19755,3174,6906,0.46,1256,3470,0.362,1918,3436,0.558,1609,2061,0.781,739,2825,3564,1767,699,392,1080,1597,9213,Y,Y,Y,N,N,65
New Orleans Pelicans,2018,82,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1182,1570,9161,Y,Y,N,N,N,48
Toronto Raptors,2018,82,19830,3383,7169,0.472,968,2705,0.358,2415,4464,0.541,1422,1790,0.794,800,2807,3607,1995,626,500,1045,1783,9156,Y,Y,N,N,N,59
Cleveland Cavaliers,2018,82,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1091,1524,9091,Y,Y,Y,Y,N,50
Denver Nuggets,2018,82,19880,3338,7102,0.47,940,2536,0.371,2398,4566,0.525,1404,1830,0.767,902,2748,3650,2059,627,404,1175,1533,9020,N,N,N,N,N,46
Philadelphia 76ers,2018,82,19780,3349,7098,0.472,901,2445,0.369,2448,4653,0.526,1405,1868,0.752,893,2996,3889,2221,682,420,1301,1811,9004,Y,Y,N,N,N,52
Minnesota Timberwolves,2018,82,19805,3365,7063,0.476,658,1845,0.357,2707,5218,0.519,1592,1980,0.804,848,2593,3441,1861,689,345,963,1495,8980,Y,N,N,N,N,47
Los Angeles Clippers,2018,82,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1154,1638,8937,N,N,N,N,N,42
Charlotte Hornets,2018,82,19780,3197,7106,0.45,824,2233,0.369,2373,4873,0.487,1656,2216,0.747,827,2901,3728,1770,559,373,1011,1409,8874,N,N,N,N,N,36
Los Angeles Lakers,2018,82,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1256,1736,8862,N,N,N,N,N,35
Oklahoma City Thunder,2018,82,19830,3271,7221,0.453,881,2491,0.354,2390,4730,0.505,1421,1985,0.716,1024,2671,3695,1750,743,412,1102,1653,8844,Y,N,N,N,N,48
Washington Wizards,2018,82,19855,3275,7018,0.467,814,2173,0.375,2461,4845,0.508,1378,1786,0.772,823,2713,3536,2065,645,353,1152,1746,8742,Y,N,N,N,N,43
Brooklyn Nets,2018,82,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1167,1688,8741,N,N,N,N,N,28
Milwaukee Bucks,2018,82,19830,3257,6807,0.478,718,2024,0.355,2539,4783,0.531,1499,1915,0.783,688,2579,3267,1905,722,443,1078,1752,8731,Y,N,N,N,N,44
Portland Trail Blazers,2018,82,19755,3222,7132,0.452,845,2308,0.366,2377,4824,0.493,1372,1715,0.8,835,2893,3728,1599,573,423,1067,1599,8661,Y,N,N,N,N,49
Indiana Pacers,2018,82,19755,3345,7083,0.472,741,2010,0.369,2604,5073,0.513,1225,1573,0.779,788,2684,3472,1819,721,340,1047,1544,8656,Y,N,N,N,N,48
New York Knicks,2018,82,19830,3334,7193,0.464,673,1914,0.352,2661,5279,0.504,1225,1557,0.787,859,2752,3611,1912,552,421,1164,1682,8566,N,N,N,N,N,29
Utah Jazz,2018,82,19755,3139,6797,0.462,887,2425,0.366,2252,4372,0.515,1375,1766,0.779,740,2807,3547,1839,708,420,1155,1608,8540,Y,Y,N,N,N,48
Boston Celtics,2018,82,19805,3141,6975,0.45,939,2492,0.377,2202,4483,0.491,1308,1697,0.771,767,2878,3645,1842,604,373,1092,1618,8529,Y,Y,Y,N,N,55
Phoenix Suns,2018,82,19705,3153,7141,0.442,763,2286,0.334,2390,4855,0.492,1453,1962,0.741,842,2776,3618,1743,569,370,1235,1807,8522,N,N,N,N,N,21
Detroit Pistons,2018,82,19805,3208,7129,0.45,886,2373,0.373,2322,4756,0.488,1207,1621,0.745,830,2756,3586,1868,628,317,1046,1508,8509,N,N,N,N,N,39
Atlanta Hawks,2018,82,19705,3130,7015,0.446,917,2544,0.36,2213,4471,0.495,1298,1654,0.785,743,2693,3436,1946,638,348,1230,1606,8475,N,N,N,N,N,24
Orlando Magic,2018,82,19730,3182,7042,0.452,844,2405,0.351,2338,4637,0.504,1271,1678,0.757,722,2692,3414,1921,622,400,1143,1579,8479,N,N,N,N,N,25
Miami Heat,2018,82,19930,3184,6997,0.455,903,2506,0.36,2281,4491,0.508,1209,1601,0.755,763,2801,3564,1862,620,437,1118,1648,8480,Y,N,N,N,N,44
Chicago Bulls,2018,82,19855,3170,7285,0.435,906,2549,0.355,2264,4736,0.478,1194,1574,0.759,790,2873,3663,1923,626,289,1090,1571,8440,N,N,N,N,N,27
San Antonio Spurs,2018,82,19730,3202,6999,0.457,696,1977,0.352,2506,5022,0.499,1324,1715,0.772,849,2777,3626,1868,628,460,1040,1408,8424,Y,N,N,N,N,47
Dallas Mavericks,2018,82,19805,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,964,1578,8390,N,N,N,N,N,24
Memphis Grizzlies,2018,82,19705,3013,6788,0.444,758,2152,0.352,2255,4636,0.486,1361,1732,0.786,779,2544,3323,1767,613,396,1182,1900,8145,N,N,N,N,N,22
Sacramento Kings,2018,82,19755,3179,7063,0.45,738,1967,0.375,2441,5096,0.479,1008,1371,0.735,777,2578,3355,1768,643,340,1083,1639,8104,N,N,N,N,N,27
